,a11,a12,a21,a22,mu1,sigma1,mu2,sigma2,p_val
2020-01-02,0.9428077382862294,0.05719226171378637,0.2585176705698602,0.7414823294301548,0.036077765011157656,0.010642022049158179,0.10616564729893382,0.09010888019701692,0.0044
2020-01-03,0.7639031825348788,0.23609681746513353,0.0761608242341796,0.9238391757658404,0.03816426589004532,0.010487781857518424,0.13858699130894578,0.10065252446280419,0.3186
2020-01-06,0.722158522185563,0.27784147781445623,0.06155266273450907,0.9384473372655037,0.0369366370474058,0.009367224720138392,0.12086344906893288,0.09734215141953095,0.3888
2020-01-07,0.8035426128773312,0.19645738712269353,0.05919235588965443,0.9408076441103529,0.03487633180277821,0.009686777866247533,0.11953106529376793,0.08976570548008243,0.3458
2020-01-08,0.8456067455135824,0.15439325448643948,0.07065402552226542,0.9293459744777451,0.04383418345907845,0.013676048644430701,0.1503750852423908,0.10792309907145431,0.3238
2020-01-09,0.7910621091769945,0.20893789082301858,0.09731059567007931,0.902689404329927,0.03902528741157749,0.00908423425835797,0.11467784966174702,0.07641701078712004,0.3224
2020-01-10,0.7318998427663088,0.26810015723369823,0.08278061828773965,0.9172193817122647,0.04043246428963956,0.01012157090660834,0.11568233294011347,0.07712880673681928,0.3294
2020-01-13,0.9068789455163471,0.09312105448366662,0.0356571836882367,0.9643428163117824,0.04768123329193609,0.01648071633423054,0.14575943477210596,0.10000727623192272,0.327
2020-01-14,0.9537457362074686,0.0462542637925503,0.24628659677966008,0.7537134032203582,0.04906324976462597,0.014416803880596062,0.20600765946653798,0.23964848457785962,0.0098
2020-01-15,0.8826381618761998,0.11736183812380156,0.33994422792929035,0.6600557720707242,0.05388988684517536,0.01796967399443193,0.2383049559951081,0.2860526170030677,0.011
2020-01-16,0.5692702855999668,0.4307297144000416,0.15110928306455612,0.8488907169354561,0.04391675848408866,0.011055455523622842,0.12773789707832198,0.08218973766312665,0.308
2020-01-17,0.693740062076774,0.3062599379232271,0.09166170778284523,0.9083382922171599,0.03680149343456722,0.010848276919976021,0.1145391908170492,0.07754816284913722,0.3164
2020-01-21,0.6737648465813165,0.3262351534186959,0.10146284545566621,0.8985371545443382,0.04430323800625793,0.011201504848659302,0.14523710540066218,0.10167313306244735,0.321
2020-01-22,0.9223934295950593,0.07760657040494526,0.2767643369719737,0.7232356630280358,0.04268333039390073,0.012340000873034973,0.13444711896580105,0.10107887854240777,0.0012
2020-01-23,0.770534812962233,0.22946518703778226,0.08145631662847667,0.9185436833715308,0.04032368796822911,0.010492361957868901,0.12442078541301894,0.08458527526511865,0.3204
2020-01-24,0.718971177043146,0.2810288229568825,0.10146340535891313,0.8985365946411108,0.05332500851054452,0.014784934241352018,0.16742233826894795,0.09153439852955025,0.213
2020-01-27,0.9449750744194158,0.05502492558059144,0.04216405279960817,0.9578359472003906,0.07744907062907921,0.026335769859072787,0.30200524261807044,0.17993703839571393,0.2124
2020-01-28,0.8414643528826693,0.1585356471173414,0.3245265633642226,0.6754734366357849,0.049278222391913956,0.014565431404395689,0.1562770348091765,0.10037121456211039,0.0002
2020-01-29,0.8930367574796003,0.10696324252040125,0.028994365990381805,0.9710056340096236,0.34246262080811657,0.16449651140844737,0.7093769901438203,0.2578122269088544,0.159
2020-01-30,0.7530464149368995,0.2469535850631077,0.14291422977064194,0.8570857702293537,0.06193313120281715,0.019576729418917884,0.19969457601252757,0.11005802260482893,0.211
